date,h0,h1,h2
2022-07-20,3.5503178e-21,2.4915159e-15,4.7789334e-21
2024-11-17,0.47276336,9.941994e-06,7.921973e-09
2023-03-01,0.00023968551,0.26073876,1.0
2022-12-04,0.9999999,4.884476e-10,0.9976325
2019-09-18,5.5787778e-18,5.8825495e-18,3.3886936e-21
2024-09-09,9.212729e-20,1.4878161e-13,1.6943421e-22
2022-02-25,1.0,0.9999969,0.999961
2019-10-09,0.00055769295,2.6212345e-16,8.483653e-16
2021-09-08,2.980516e-26,1.4844173e-17,6.8264104e-23
2019-06-21,7.332048e-25,2.1032938e-13,4.4403947e-12
2020-10-27,1.0140129e-12,1.7630627e-12,3.4418125e-11
2024-05-30,7.636119e-13,0.0017142686,0.99999774
2022-01-07,1.0,0.9999999,1.0
2023-12-19,1.0,0.048253097,1.0
2021-01-28,0.9999995,0.99998176,0.9999962
2021-04-11,4.959522e-14,1.0,0.0008367422
2020-01-30,0.9999763,1.0,1.0
2024-06-05,3.1607258e-13,4.1265316e-10,0.028730325
2021-09-21,1.3464521e-24,1.7994636e-18,3.6919243e-24
2024-10-02,3.9554934e-14,2.0156745e-16,5.2167684e-23
2022-09-04,4.0036424e-20,1.2761852e-19,3.7204054e-20
2023-01-31,0.025766686,1.2531919e-05,1.0
2019-05-25,3.1085184e-14,0.9999771,3.0119688e-06
2021-07-15,5.2124993e-20,1.638656e-17,5.3358647e-13
2022-09-14,1.2144004e-18,1.1220039e-22,3.5653097e-24
2021-05-05,7.1975256e-07,1.0,1.0
2023-01-08,0.9999975,1.8610792e-06,1.0
2019-11-09,0.984777,1.2005743e-08,3.909434e-06
2019-12-29,0.99999404,1.0,1.0
2019-11-04,0.0040148553,1.5979648e-15,8.177748e-09
2021-10-26,1.2511928e-13,2.3956733e-16,9.005389e-14
2022-06-20,2.0104453e-23,2.107653e-15,1.1903232e-15
2023-06-25,6.4063427e-22,2.9132042e-12,1.8624742e-16
2022-01-18,1.0,1.0,1.0
2019-04-25,5.391274e-08,1.0,1.0
2024-05-01,3.975697e-10,0.9999881,1.0
2020-03-31,8.633128e-08,1.0,0.9986193
2024-05-14,6.6996114e-12,0.00015841913,1.0
2022-11-11,0.0012419891,2.781002e-16,0.35197857
2021-01-16,0.99999964,0.9999999,0.9999988
2023-03-15,1.8291154e-05,0.9998658,0.9999999
2020-02-09,0.9987219,1.0,1.0
2019-08-19,6.6980474e-25,1.1605254e-14,2.4545816e-16
2020-03-10,0.0003106508,0.9999449,0.99994814
2019-12-17,0.9999988,1.0,1.0
2023-10-13,4.1058105e-15,8.928797e-22,1.111558e-22
2023-11-05,2.4583008e-13,4.2658303e-17,3.9386387e-21
2019-04-16,8.865644e-07,1.0,0.9999981
2019-10-01,4.4790167e-14,1.2257187e-19,2.3566306e-19
2019-06-27,1.0816607e-25,1.5902351e-16,6.2209925e-17
2019-09-01,1.3282457e-23,3.8811096e-15,6.669991e-20
2020-02-04,0.99999833,1.0,1.0
2019-04-15,7.861265e-10,1.0,0.053380195
2022-03-06,0.9999999,0.5366565,0.9700491
2020-12-04,1.0,0.9996791,0.99999917
2022-05-27,3.3544746e-18,1.0229987e-06,0.99994755
2024-05-31,2.9179e-14,4.359253e-09,0.9997571
2021-09-05,3.6631655e-24,7.2677836e-16,3.4395716e-24
2022-04-30,1.4819094e-05,1.0,1.0
2022-03-21,5.5976287e-12,0.99994755,6.2886064e-11
2023-09-06,2.8553422e-20,2.4661434e-17,2.69325e-24
2020-03-24,0.032854713,1.0,0.9999869
2023-12-05,1.0,0.9271475,1.0
2024-04-24,0.30154982,1.0,1.0
2024-10-23,1.441341e-15,9.8170305e-15,1.7303471e-20
2019-06-19,3.5543763e-25,7.199601e-15,4.856431e-14
2020-07-31,5.06631e-21,2.3532906e-10,1.6951803e-17
2020-02-12,0.9992924,1.0,1.0
2024-12-13,1.0,0.9989015,1.0
2021-05-23,0.0020260746,0.98725265,1.0
2023-05-24,6.909361e-10,0.9999796,1.0
2019-04-05,5.1792904e-16,1.0,7.502577e-09
2024-09-15,2.811221e-15,1.3845058e-09,5.062772e-22
2019-04-01,2.799294e-19,0.9999995,3.1018944e-12
2021-10-28,7.766255e-14,1.6954937e-21,7.561736e-17
2021-09-10,3.700638e-24,6.530944e-17,2.4547026e-24
2022-09-27,4.431956e-13,2.1389105e-21,4.5261375e-22
2023-06-14,3.372327e-22,2.8206546e-06,8.521359e-12
2024-11-02,7.135405e-22,8.620547e-14,6.338894e-19
2023-12-09,1.0,0.013110741,1.0
2022-03-29,8.339823e-08,1.0,1.7477106e-06
2020-10-01,5.5367334e-19,1.21375925e-14,2.4524938e-24
2024-08-27,7.75002e-22,8.40706e-12,5.6388883e-22
2024-08-13,6.7212206e-22,3.2433006e-12,1.2226038e-19
2021-08-16,1.0276904e-21,2.1853104e-14,3.161355e-23
2024-01-07,1.0,0.9999993,1.0
2021-04-20,6.680117e-15,1.0,2.8127172e-06
2021-01-30,1.0,0.99999356,0.99998176
2020-01-06,0.99999976,1.0,1.0
2021-10-25,4.5546253e-16,2.0410251e-21,2.7892137e-17
2022-09-12,7.249919e-17,7.191502e-23,8.742206e-24
2023-10-21,7.522981e-17,1.2718278e-16,1.8535245e-21
2019-07-02,3.5876953e-18,3.7975387e-10,1.5149581e-12
2019-10-14,1.0315866e-10,2.1018789e-16,5.5178466e-17
2021-01-26,1.0,0.9999826,0.9999987
2020-06-30,6.9334e-14,4.8750104e-14,1.3537048e-07
2024-07-30,4.88127e-26,3.3352624e-08,9.090197e-20
2019-12-09,0.9999958,0.99952734,1.0
2019-05-19,1.403236e-08,1.0,0.9576944
2024-04-25,0.043837693,1.0,1.0
2023-09-27,1.7077834e-19,3.625744e-22,5.8703393e-23
2021-04-04,8.714065e-18,0.96813947,8.748932e-12
2021-09-12,7.720118e-25,1.635169e-20,4.4340293e-20
2024-10-19,4.6321484e-21,1.0235557e-12,3.4880445e-20
2019-04-28,6.0791687e-09,1.0,0.9999999
2023-12-29,1.0,0.9995192,1.0
2023-03-17,2.231686e-11,0.99999964,0.23416097
2023-06-27,8.633729e-25,5.0056805e-14,1.1330862e-18
2021-09-29,1.104699e-19,1.6728273e-22,1.6710709e-25
2022-11-22,0.9999788,1.2673982e-13,0.9913298
2022-09-01,2.4967959e-23,4.3057494e-19,1.5052567e-20
2022-06-04,1.2979022e-16,6.4494465e-08,0.99984777
2022-04-10,0.0001807678,1.0,1.0
2022-03-27,5.21685e-11,1.0,5.003805e-08
2021-04-14,1.0236322e-15,0.9999999,1.1041429e-05
2024-01-24,1.0,0.99999297,1.0
2024-10-14,2.3788422e-14,6.204382e-16,5.714132e-23
2024-04-26,0.011596663,0.99999976,1.0
2024-08-28,6.824981e-22,3.903942e-10,6.1304698e-21
2024-08-18,4.2840795e-24,2.1764287e-11,2.7459902e-18
2021-05-21,0.18753208,1.0,1.0
2024-03-24,5.564636e-05,1.0,0.22158812
2021-08-23,6.662624e-18,5.1724983e-16,3.8873683e-12
2020-09-12,4.3290984e-29,7.61163e-17,6.726973e-20
2020-05-05,4.2510104e-07,0.9999974,1.0
2020-08-04,1.2579274e-15,2.3943991e-12,1.7263749e-16
2022-06-14,3.3503207e-24,1.8794275e-13,3.2709332e-12
2024-03-03,6.6527476e-17,4.0525805e-07,2.5841256e-14
2019-09-07,5.6003377e-17,1.1089388e-18,6.673027e-18
2024-12-27,1.0,0.8905328,0.9999813
2023-02-03,0.8764074,8.1771344e-05,1.0
2020-10-23,1.8317379e-14,1.4388454e-17,7.34105e-20
2020-09-30,1.02662904e-20,1.414833e-15,3.4729434e-23
2024-02-13,0.04996803,1.0,0.16091602
2023-08-05,4.304101e-22,2.1977991e-15,1.2796995e-20
2021-08-22,3.2258716e-12,4.935627e-18,1.5654161e-13
2020-06-02,7.016372e-22,4.219171e-10,0.085059404
2022-03-01,0.99903536,0.99999726,0.61620444
2021-10-09,2.8212709e-19,1.7784797e-17,6.940451e-22
2023-02-04,0.9911806,2.5173298e-05,1.0
2023-10-16,5.944238e-20,8.898535e-22,2.7981171e-21
2023-09-30,9.80242e-18,7.265049e-21,1.680354e-23
2022-03-25,8.3803987e-13,1.0,3.6997166e-11
2020-02-14,0.9989736,1.0,0.9999999
2020-04-20,2.4218622e-07,0.9999999,1.0
2022-08-07,6.806743e-18,4.926823e-11,4.2053838e-18
2022-05-20,8.823879e-19,6.179033e-07,0.99948764
2023-05-03,4.1967774e-06,1.0,1.0
2022-08-16,7.6241964e-21,1.3976504e-16,4.689203e-20
2024-11-11,2.0804143e-11,7.789212e-06,1.8564299e-17
2024-01-11,1.0,0.9999999,1.0
2020-10-17,2.0381975e-13,9.7506244e-17,6.424166e-20
2023-02-01,0.36247474,2.9037605e-07,1.0
2024-05-12,1.9460435e-11,6.8094454e-07,1.0
2024-07-27,3.3760127e-27,1.7103051e-13,8.1313126e-22
2024-12-24,1.0,0.9985159,0.99999976
2024-03-26,8.552325e-09,1.0,0.9991999
2022-06-01,2.2822946e-09,0.00021837548,1.0
2020-02-29,0.27687705,0.9999957,0.99998343
2022-09-22,1.7812722e-15,1.4854211e-23,9.197941e-21
2023-05-06,4.8151473e-05,1.0,1.0
2021-09-01,2.2880438e-16,8.984457e-14,3.6753186e-22
2022-07-27,3.833415e-18,2.8262251e-12,2.6266638e-13
2022-05-15,4.232244e-14,0.050564215,1.0
2023-02-02,0.97149616,0.01594386,1.0
2021-02-17,0.9936697,0.76945853,0.77598065
