,h0,h1,h2
aphanizomenon,-0.3666645,-0.88235116,-0.36968544
askenasia,-1.2736387,-0.05853765,-1.5515962
asplanchna,-1.5136582,0.13864315,1.013935
asterionella,0.010059311,-2.1876588,0.09960416
aulacoseira,1.7771362,-1.182095,0.5334737
bosmina,0.46027222,0.016542068,0.97574085
centric_diatom,1.3398774,-1.456047,1.5073254
ceratium,-0.7628418,-1.4028548,-1.2839851
chaoborus,-0.54569393,0.07649367,-1.2433043
chlorophyte,-4.875605,-4.5186706,-0.8784003
chlorophyte_colonial_dividing,-4.4611163,-2.8596568,-2.720084
chlorophyte_elongated,-2.197566,0.043219034,-0.97692
chlorophyte_frame,-3.9836562,-1.9146873,-1.9346031
chlorophyte_square,-3.4730155,-4.6727257,-2.2319493
chroococcales,-1.9944823,-3.023784,-2.4112117
chydorus,0.41939414,0.7087211,-1.4490129
ciliate,-0.88084626,-0.42099816,1.308443
ciliate_big,1.4877712,-1.1959748,-0.27981308
ciliate_blue,-0.35262558,-1.0277491,-0.69477063
ciliate_green,-2.8205354,1.7003611,-3.6467514
ciliate_round,0.56465685,-1.6318268,0.88927513
closterium,2.7273016,-1.7789502,-1.1510726
coelastrum_reticulatum,1.5274059,-1.0306574,-2.4351604
coelosphaerium,-1.6140509,-2.015171,-2.5287714
coleps,0.8397518,-0.95001745,-1.2766789
collotheca,-0.6978364,-0.7641168,-3.3049545
conochilus,-1.1906495,0.49856442,0.90055674
cosmarium,-1.7631075,-1.7563816,-2.2636738
cryptophyte,-3.9571915,-1.252251,0.7511089
cyanobacteria_colonial_blue,-1.2678485,-2.5440738,-2.046779
cyanobacteria_colonial_clathrate,-0.071758054,-1.7124633,-3.0009444
cyanobacteria_colonial_probably,-0.91889924,-1.7638909,-3.5826647
cyanobacteria_filamentous,1.2853112,-0.9783868,-1.3196177
cyclops,-2.6510067,-0.44390163,-0.97282124
daphnia,-0.60790056,0.7046609,-1.466339
daphnia_cucullata,1.2755691,0.44545513,-1.8455446
diaphanosoma,0.076521054,-0.63956827,-1.6378113
didinium,-0.3395393,-1.3696278,-0.1730537
dinobryon,-4.2702003,1.9445815,-5.9820094
dinoflagellate_diamond,3.7146273,-1.6564238,4.8003592
dolichospermum,0.13103004,-0.7594825,-1.7504731
eudiaptomus,-0.24330164,0.6960921,-0.30565062
fragilaria,2.2319355,-1.2076063,-2.1687849
gonium,-3.7510254,-1.2490251,-2.4929588
gymnodinium,-1.1216959,-3.5222595,0.95336086
kellicottia,-1.5036747,-1.6956294,2.238459
keratella_cochlearis,-0.05934988,-1.0854053,-1.3958
keratella_quadrata,-1.2987568,-0.32062745,0.6613239
leptodora,0.03223393,-1.332215,-1.18733
limnoraphis,0.35793614,-0.2923017,-1.1637967
mallomonas_akrokomos,-2.163252,0.54837555,0.54866225
mallomonas_big,0.6637609,-1.0612662,-2.223143
nauplius,-4.824659,0.41558108,0.88239163
oocystaceae,-3.245666,-3.1398268,-1.8983049
pandorina,0.7463152,-1.8654765,-0.87400615
paradileptus,0.60998046,-1.4001677,-1.8408747
pediastrum,0.41563416,-0.9422633,-3.1848273
pennate_diatom,-0.85590404,-1.5322037,0.9186129
peridinium,-0.62392086,-2.6224697,-0.26277536
phacotus,-2.8695855,-1.7792426,-1.9793087
plankton_x,-1.3565993,-1.5407866,-0.7604419
plankton_y,0.08807218,-1.9826556,0.5964039
plankton_z,-2.3645563,-2.0389764,-1.6539018
planktosphaeria,-1.5574852,-0.29388765,-0.46504486
polyarthra,-2.6187627,0.18345715,0.51418775
protist_like_ciliate,-1.6148006,-3.538853,0.2865946
rhodomonas,-3.5564764,-0.44146562,3.2489688
rotifer,-3.636984,0.8251249,-0.39578593
rotifer_long,-1.8589342,0.24243805,-0.85735726
rotifer_z,-1.2374158,-0.56106514,-2.0514953
scenedesmus,-0.27246818,-1.9554899,-2.544075
snowella,-0.40327102,-0.005731,-3.014738
staurastrum,0.50310385,-1.2099351,-1.1375916
strombidium,-2.0627587,-1.5017457,0.66892165
synchaeta,0.31139547,0.45006257,0.21086213
synedra,-0.935417,0.13790695,0.021283321
synedra_angustissima,1.6187898,-0.8377085,-0.27375016
synura,1.7651272,-0.30196497,-2.5262775
tetraedron,-2.1121526,-2.1766312,-1.8664622
tintinnid,0.34416252,-1.8737335,1.0580307
trichocerca,-2.1833405,-0.17787652,-1.4829082
uroglena,-1.4238544,0.61004174,-2.930063
vorticella_epistylis_like,0.5050368,-2.2309723,0.24843344
