,h0,h1,h2
aphanizomenon,-0.066719465,-1.4331497,-1.1824775
askenasia,1.1071041,-0.08718166,-1.1244601
asplanchna,0.91990876,-0.98713654,0.3952562
asterionella,-0.016837591,-0.63660026,-2.980575
aulacoseira,-4.390328,-0.72773504,-0.56998605
bosmina,-0.23488876,-0.09798325,0.69739234
centric_diatom,-1.5147835,1.0611237,0.93308485
ceratium,0.16403829,-0.64722246,-1.9162494
chaoborus,0.8295498,-0.6895644,-1.7760179
chlorophyte,1.0368549,0.93658984,-1.2372055
chlorophyte_colonial_dividing,1.7735136,0.75785995,-2.3953753
chlorophyte_elongated,1.3585745,0.02053792,-0.21180573
chlorophyte_frame,1.923104,0.9643616,-2.129795
chlorophyte_square,1.5137815,1.0999522,-2.1808329
chroococcales,2.7309248,1.1875842,-3.916721
chydorus,-0.32302436,1.4736491,-1.5128986
ciliate,0.50700784,0.24173784,0.7563739
ciliate_big,-1.8105723,-0.90294677,-3.1688015
ciliate_blue,0.28003737,0.604256,-0.6671558
ciliate_green,1.3763198,-0.9711745,-2.3585687
ciliate_round,-0.5728922,1.035501,-0.12786132
closterium,-0.7685906,0.836401,-1.1266104
coelastrum_reticulatum,-2.3392315,4.0634327,-4.550702
coelosphaerium,2.6785617,0.8763779,-5.5899816
coleps,0.08877304,1.711731,-1.8807747
collotheca,1.1338178,1.0223933,-2.960408
conochilus,1.0100049,-2.2605991,0.4590295
cosmarium,0.9950946,0.43472937,-1.4952812
cryptophyte,0.736386,0.06624059,0.22951838
cyanobacteria_colonial_blue,1.55366,0.40719652,-2.7274463
cyanobacteria_colonial_clathrate,1.20665,-1.0380342,-5.2393003
cyanobacteria_colonial_probably,1.7450167,0.864964,-4.042541
cyanobacteria_filamentous,-0.7528991,1.3385848,-2.924373
cyclops,0.92063606,-0.2415304,-0.34610248
daphnia,0.08580492,-1.1537023,-1.1379985
daphnia_cucullata,-0.74483246,1.935588,-4.2385287
diaphanosoma,3.1217337,1.0112984,-4.0782633
didinium,0.27842116,1.0525926,-0.6029104
dinobryon,2.2686975,-0.5946267,-4.496313
dinoflagellate_diamond,-1.6994421,1.9093829,2.1309075
dolichospermum,-0.80539566,0.96533775,-2.837591
eudiaptomus,0.05724525,-0.20495413,-0.11731265
fragilaria,-0.9743951,-1.3717426,-3.9020083
gonium,3.4233434,0.38306034,-4.249693
gymnodinium,0.35300675,0.85452425,-0.25916958
kellicottia,0.11165723,-0.122501776,0.43412873
keratella_cochlearis,0.30483362,0.011728915,-0.9601575
keratella_quadrata,0.50942904,-1.2234876,-0.5785417
leptodora,0.3073432,-0.25877595,-2.9734488
limnoraphis,-0.09652456,1.4378307,-3.1111493
mallomonas_akrokomos,1.1361873,0.023762953,1.0734885
mallomonas_big,-0.073733896,0.7523622,-1.5521314
nauplius,0.8176791,-0.40803126,0.29713097
oocystaceae,1.4170463,1.6741278,-2.6326184
pandorina,-0.03893002,0.33694264,-1.0342088
paradileptus,-0.13203835,-0.40698245,-2.3929377
pediastrum,0.37641215,0.89640325,-2.093696
pennate_diatom,0.68576586,1.3223034,-1.3413914
peridinium,0.6238915,1.3802005,-0.8715549
phacotus,0.7041252,-0.37976363,-2.2381277
plankton_x,1.4758523,0.63158035,-1.053316
plankton_y,-0.22723827,0.79153824,0.22129937
plankton_z,2.0438561,1.0887,-2.500776
planktosphaeria,-0.9859733,-1.0198731,-1.1030028
polyarthra,1.0989686,-0.74164647,1.2091714
protist_like_ciliate,0.7557152,1.2656426,-1.074893
rhodomonas,0.22442752,-0.025322814,1.1287322
rotifer,1.0443832,-0.97066593,-0.101046816
rotifer_long,1.7375591,0.17388216,-0.9554888
rotifer_z,1.9560802,-0.24074444,-2.919105
scenedesmus,1.0917397,0.8675334,-2.691059
snowella,0.56298494,6.6398773,-6.58078
staurastrum,0.35584834,0.48553258,-0.94000864
strombidium,0.81883943,0.30976918,-0.035420652
synchaeta,-1.0144217,-1.0011162,0.2354444
synedra,0.9276476,-1.3960551,-1.1671368
synedra_angustissima,-2.0274055,0.39873186,-0.93893933
synura,0.16160542,0.26172352,-2.688713
tetraedron,1.1997778,1.1324822,-1.3625042
tintinnid,-0.3899742,0.42488125,0.118972726
trichocerca,1.0928711,0.055840414,-0.85578895
uroglena,2.7844644,-1.8219652,-3.3396542
vorticella_epistylis_like,-0.7277848,1.3777951,-0.4071187
