,h0,h1,h2
aphanizomenon,0.00019821312,0.00018931471,0.00019670796
askenasia,0.0029799186,0.0025421628,0.002856219
asplanchna,-0.0008097594,-0.00072658854,-0.0007870065
asterionella,0.0008161484,0.0006934499,0.0007821045
aulacoseira,-0.00031340795,-0.00024857078,-0.00029423027
bosmina,-0.0013849182,-0.0012207802,-0.0013390505
centric_diatom,-0.00213483,-0.0018076005,-0.0020411445
ceratium,9.456443e-05,1.973924e-05,7.205941e-05
chaoborus,-0.0005915981,-0.0006258682,-0.0006029586
chlorophyte,-0.0015137359,-0.0012888997,-0.001449718
chlorophyte_colonial_dividing,-0.0005529245,-0.0005940544,-0.0005664952
chlorophyte_elongated,-0.00046303577,-0.00039477862,-0.00044339654
chlorophyte_frame,-0.00020651123,-0.00012936033,-0.00018399028
chlorophyte_square,0.00042433772,0.0003784995,0.0004121353
chroococcales,-0.0007820849,-0.0006947743,-0.00075786427
chydorus,-0.001223268,-0.0010900403,-0.001186156
ciliate,-0.0004351105,-0.00039874093,-0.00042346984
ciliate_big,-0.00047377005,-0.00031362966,-0.00042811714
ciliate_blue,0.0007075022,0.00053665886,0.00066005695
ciliate_green,-0.00014862159,-0.0001805515,-0.00015981343
ciliate_round,-0.0010266716,-0.0008520414,-0.0009764782
closterium,-0.0017431165,-0.0015205087,-0.0016801911
coelastrum_reticulatum,0.0003958442,0.00038044158,0.00039080632
coelosphaerium,0.00089858565,0.00065748836,0.00082774216
coleps,0.0003790917,0.0003601927,0.00037443044
collotheca,-0.0008910584,-0.00075476425,-0.0008531158
conochilus,-0.0012820787,-0.0010816023,-0.0012240255
cosmarium,0.0004252589,0.00035394297,0.0004050863
cryptophyte,0.0005853679,0.00047470772,0.00055378187
cyanobacteria_colonial_blue,0.00035221552,0.00029907524,0.0003380979
cyanobacteria_colonial_clathrate,-0.0010359247,-0.0008415639,-0.0009805815
cyanobacteria_colonial_probably,0.00033316165,0.0003218239,0.0003299739
cyanobacteria_filamentous,-0.00039810114,-0.00033585166,-0.0003799938
cyclops,-0.00054776843,-0.00048653258,-0.0005300456
daphnia,-0.001292267,-0.0011554466,-0.0012543736
daphnia_cucullata,-0.0015233767,-0.0013363789,-0.0014713828
diaphanosoma,-0.0010024636,-0.0008723195,-0.00096623355
didinium,-0.0008825028,-0.00074206165,-0.0008422268
dinobryon,6.5784756e-05,3.3530265e-05,5.7122266e-05
dinoflagellate_diamond,0.00014195291,5.1345243e-05,0.00011551188
dolichospermum,0.0013492529,0.0010774022,0.0012722597
eudiaptomus,-0.0011214074,-0.00095904525,-0.0010760754
fragilaria,0.00022268183,0.00018926333,0.00021356915
gonium,-0.0020550548,-0.0017539769,-0.001969191
gymnodinium,-0.0019711566,-0.0017757416,-0.0019170025
kellicottia,-0.0013996001,-0.0012293351,-0.0013509861
keratella_cochlearis,0.00026557152,0.0002199091,0.00025299384
keratella_quadrata,-0.00022305673,-0.00023208655,-0.0002264195
leptodora,-0.00046738083,-0.00041501032,-0.0004521685
limnoraphis,0.00081287185,0.0006108803,0.0007551359
mallomonas_akrokomos,-0.0012624104,-0.001087651,-0.0012131962
mallomonas_big,-0.0025483407,-0.0021875044,-0.0024466815
nauplius,-0.0010915411,-0.0009710729,-0.001057542
oocystaceae,0.0011414267,0.00096631126,0.0010916351
pandorina,0.00094268494,0.00079701364,0.00090053846
paradileptus,-5.607936e-05,-5.219819e-05,-5.3965432e-05
pediastrum,0.000720173,0.0005994839,0.0006847698
pennate_diatom,8.6321525e-05,0.000100118894,8.998293e-05
peridinium,0.0005802534,0.00043168062,0.000536758
phacotus,-0.0008307962,-0.0007077235,-0.0007953182
plankton_x,0.0024254567,0.0020178193,0.0023092472
plankton_y,-5.4543638e-05,-4.1046736e-05,-4.956438e-05
plankton_z,0.00043663796,0.0003703824,0.00041961757
planktosphaeria,-0.0004889677,-0.00042394383,-0.00047089285
polyarthra,-0.0007561019,-0.000716455,-0.0007443298
protist_like_ciliate,-7.023086e-05,-7.365161e-05,-7.032059e-05
rhodomonas,1.3156127e-05,5.5391956e-05,2.5255813e-05
rotifer,0.000372655,0.00035942026,0.00037101444
rotifer_long,-0.000544523,-0.000449456,-0.00051752676
rotifer_z,-0.0009467532,-0.00087298284,-0.00092695304
scenedesmus,-0.0005846076,-0.00056815165,-0.00058022945
snowella,-0.00041704896,-0.00034881016,-0.00039735597
staurastrum,0.00082355726,0.00068770105,0.0007844802
strombidium,-0.00044677922,-0.0004748169,-0.00045609253
synchaeta,-0.0020855265,-0.001831856,-0.002015216
synedra,-0.0014752367,-0.0013138065,-0.0014313472
synedra_angustissima,-0.00036899402,-0.00036339508,-0.00036610596
synura,-0.00010627977,-0.00014223729,-0.000116318435
tetraedron,-0.0018617192,-0.0016437977,-0.0018018543
tintinnid,-8.466016e-05,-7.317669e-05,-8.1123086e-05
trichocerca,-0.0012378023,-0.001082446,-0.0011927702
uroglena,-0.000199181,-0.00016762341,-0.00019062353
vorticella_epistylis_like,-0.002394287,-0.00206703,-0.0023010161
